"Statistic","Value"
"Mean",0.03925
"Std Dev",1.052902
"Min",-13.226364
"Max",7.91979
"Skewness",-0.7907
"Excess Kurtosis",11.8321
"JB Statistic",21838.1474
"JB p-value",0
"ADF Statistic",-15.2993
"ADF p-value",0.01
