"Date","GARCH","EGARCH","GJR","FIGARCH"
2024-12-31,0.841638743682228,1.01069319141294,0.949287018271195,0.838891998034011
2025-01-01,0.845628752817737,1.00698969783667,0.949093637842549,0.829095656998382
2025-01-02,0.849519928475063,1.00340157063911,0.948906742042334,0.827511896644603
2025-01-03,0.85331523471881,0.999924868232549,0.948726114628079,0.830847387642165
2025-01-06,0.857017517815996,0.996555802698897,0.948551546489172,0.835796536766863
2025-01-07,0.860629512612038,0.99329073279202,0.948382835416822,0.841012906317234
2025-01-08,0.864153848457342,0.990126157310354,0.948219785881106,0.846038796815811
2025-01-09,0.867593054723325,0.987058708817458,0.94806220881491,0.850685014441984
2025-01-10,0.870949565942782,0.984085147689797,0.947909921404546,0.855027893863033
2025-01-13,0.874225726606001,0.981202356472393,0.947762746886889,0.859069276275229
2025-01-14,0.877423795640969,0.978407334524215,0.94762051435283,0.862836992436335
2025-01-15,0.880545950603247,0.975697192936419,0.947483058556867,0.866364308093408
2025-01-16,0.883594291598664,0.973069149707588,0.94735021973267,0.869681736904792
2025-01-17,0.886570844959807,0.970520525161193,0.94722184341443,0.872812453309644
2025-01-20,0.889477566695344,0.9680487375914,0.947097780263842,0.875777523633626
2025-01-21,0.892316345729485,0.965651299124267,0.946977885902547,0.878594513030668
2025-01-22,0.895089006947321,0.963325811782153,0.946862020749872,0.881276025419452
2025-01-23,0.897797314060402,0.961069963739982,0.946750049865718,0.883838983750099
2025-01-24,0.900442972305662,0.958881525762648,0.946641842798446,0.886293788047339
2025-01-27,0.903027630989652,0.956758347813564,0.946537273437597,0.888651430416341
