"Regime","GARCH_alpha","GARCH_beta","GARCH_persist","EGARCH_gamma","GJR_gamma","GJR_persist","FIGARCH_d"
"Regime 1 - Pre-COVID (2010-2020)",0.059514,0.926019,0.985533,-0.106234,0.133406,0.974104,NA
"Regime 2 - COVID crisis (2020-2022)",0.102456,0.881578,0.984034,-0.137904,0.142709,0.96594,NA
"Regime 3 - Post-crisis (2022-2024)",0.006515,0.983933,0.990448,-0.213201,0.29683,0.655364,NA
